TP,TN,FP,FN,Accuracy,Precision,Recall,F1,Num_Samples,Frac_NonAmbiguous,UniverseID,Model,FeatureSet,Subgroup
47.0,66743.0,230.0,7114.0,0.9009361426605876,0.16967509025270758,0.006563329143974305,0.012637805861790804,74134.0,0.8522814802892519,10,rf,with_protected,overall
23.0,27785.0,106.0,3068.0,0.8975534181137435,0.17829457364341086,0.007440957618893562,0.014285714285714285,30982.0,0.8352069011996226,10,rf,with_protected,frau1
34.0,14177.0,218.0,1461.0,0.8943360604153555,0.1349206349206349,0.02274247491638796,0.038923869490555235,15890.0,0.8920451355751418,10,rf,with_protected,nongerman
15.0,9310.0,119.0,763.0,0.9135887136279024,0.11194029850746269,0.019280205655526992,0.03289473684210526,10207.0,0.9193010897955507,10,rf,with_protected,nongerman_male
19.0,4867.0,99.0,698.0,0.8597571705085342,0.16101694915254236,0.026499302649930265,0.045508982035928146,5683.0,0.8469448584202682,10,rf,with_protected,nongerman_female
23.0,66785.0,156.0,7160.0,0.9013005234471966,0.12849162011173185,0.0032020047333983013,0.006248302091822874,74124.0,0.8521665152960923,11,rf,without_protected,overall
12.0,27812.0,73.0,3089.0,0.8979539146711418,0.1411764705882353,0.003869719445340213,0.007532956685499058,30986.0,0.8353147324437256,11,rf,without_protected,frau1
15.0,14274.0,139.0,1505.0,0.8968179250611937,0.09740259740259741,0.009868421052631578,0.017921146953405017,15933.0,0.8944591029023746,11,rf,without_protected,nongerman
8.0,9349.0,74.0,788.0,0.9156473236128779,0.0975609756097561,0.010050251256281407,0.018223234624145785,10219.0,0.9203818787715032,11,rf,without_protected,nongerman_male
7.0,4925.0,65.0,717.0,0.8631431571578579,0.09722222222222222,0.009668508287292817,0.017587939698492462,5714.0,0.851564828614009,11,rf,without_protected,nongerman_female
23.0,66785.0,156.0,7160.0,0.9013005234471966,0.12849162011173185,0.0032020047333983013,0.006248302091822874,74124.0,0.8521665152960923,12,rf,without_protected,overall
12.0,27812.0,73.0,3089.0,0.8979539146711418,0.1411764705882353,0.003869719445340213,0.007532956685499058,30986.0,0.8353147324437256,12,rf,without_protected,frau1
15.0,14274.0,139.0,1505.0,0.8968179250611937,0.09740259740259741,0.009868421052631578,0.017921146953405017,15933.0,0.8944591029023746,12,rf,without_protected,nongerman
8.0,9349.0,74.0,788.0,0.9156473236128779,0.0975609756097561,0.010050251256281407,0.018223234624145785,10219.0,0.9203818787715032,12,rf,without_protected,nongerman_male
7.0,4925.0,65.0,717.0,0.8631431571578579,0.09722222222222222,0.009668508287292817,0.017587939698492462,5714.0,0.851564828614009,12,rf,without_protected,nongerman_female
